location,purchase_date,purchase_id,product_code,quantity_sold,quantity_returned,revenue_after_returns
1,6/1/2020,3287428,18519,7,0,658
1,6/1/2020,3287428,33761,6,0,354
1,6/1/2020,3287428,31395,6,0,486
1,6/1/2020,3287428,24652,1,0,69
2,6/1/2020,3911696,46640,7,0,441
2,6/1/2020,3436035,40202,3,0,336
1,3/1/2020,3839948,32263,3,0,261
1,3/1/2020,3839948,40195,5,0,370
1,3/1/2020,3839948,48100,7,0,672
1,5/1/2020,1926608,34369,1,0,5
1,5/1/2020,3306366,39820,5,0,285
1,5/1/2020,3306366,16734,4,0,36
1,5/1/2020,3306366,17887,5,0,565
1,5/1/2020,3306366,13984,6,0,492
1,5/1/2020,3306366,21722,6,0,660
1,5/1/2020,3306366,44873,6,0,282
1,5/1/2020,3306366,20452,3,0,318
1,5/1/2020,3306366,42254,7,0,798
1,5/1/2020,3306366,14266,4,0,360
1,5/1/2020,3306366,39122,3,0,201
1,6/1/2020,4601176,10596,6,0,390
3,3/1/2020,1461556,19948,5,0,335
3,3/1/2020,1461556,15195,4,0,164
3,5/1/2020,3680297,14305,2,0,74
3,5/1/2020,3680297,28357,7,0,700
3,5/1/2020,4837532,40023,7,0,854
3,5/1/2020,4837532,23412,5,0,565
3,6/1/2020,2777612,41519,1,0,106
3,6/1/2020,2777612,22036,4,0,408
3,6/1/2020,2777612,48534,7,0,777
3,6/1/2020,2777612,38745,4,0,320
2,3/1/2020,2738426,40793,4,0,288
2,3/1/2020,2738426,16490,4,0,36
2,3/1/2020,2738426,28437,6,0,468
1,1/1/2020,3939464,36466,6,0,354
1,1/1/2020,3939464,18619,2,0,232
1,1/1/2020,4663350,31379,4,0,340
1,1/1/2020,4663350,25550,7,0,182
1,6/1/2020,1015660,38834,4,0,164
1,6/1/2020,1015660,18772,4,0,96
1,6/1/2020,4599236,42528,3,0,135
1,6/1/2020,4599236,19616,5,0,185
1,6/1/2020,4599236,21759,7,0,490
1,3/1/2020,2256924,12938,2,0,214
1,3/1/2020,2502569,38233,4,0,504
1,4/1/2020,2658043,37262,5,0,95
1,5/1/2020,2463063,49607,7,0,483
1,2/1/2020,4567739,19727,5,0,170
1,2/1/2020,4567739,13191,7,0,392
1,5/1/2020,4485816,31379,7,0,595
1,5/1/2020,4485816,44629,7,0,189
1,5/1/2020,4485816,16204,6,0,834
1,5/1/2020,4485816,22779,3,0,324
1,5/1/2020,2404531,20211,3,0,180
1,5/1/2020,2404531,31891,7,0,525
1,1/1/2020,3141590,37262,6,0,114
1,1/1/2020,3141590,39590,5,0,50
1,1/1/2020,3141590,39117,5,1,452
1,1/1/2020,2863613,40726,5,0,495
1,1/1/2020,2863613,24501,4,0,288
1,1/1/2020,2863613,24591,5,0,395
1,3/1/2020,4281641,26310,5,0,555
1,3/1/2020,4281641,18889,4,0,300
1,3/1/2020,4281641,26889,2,0,268
1,3/1/2020,4281641,32915,1,0,130
1,3/1/2020,4281641,37137,6,0,642
1,3/1/2020,4281641,28512,4,0,176
1,5/1/2020,3840473,41017,5,1,32
1,5/1/2020,3840473,18776,7,0,357
1,5/1/2020,3840473,21964,3,1,44
1,6/1/2020,1279842,34526,2,0,50
1,6/1/2020,3184843,48260,1,0,148
1,6/1/2020,3184843,32460,1,0,42
1,6/1/2020,3184843,34373,6,0,180
1,1/1/2020,2825045,28997,4,0,128
1,1/1/2020,2825045,19727,7,0,238
1,1/1/2020,2825045,16157,3,0,57
1,1/1/2020,2825045,47219,7,0,56
1,1/1/2020,2825045,10282,3,0,66
1,4/1/2020,1110121,35368,1,0,73
1,4/1/2020,1110121,24828,1,0,110
1,5/1/2020,1189883,18278,2,0,216
1,5/1/2020,1189883,40755,7,0,644
1,6/1/2020,2675343,31379,7,0,595
1,6/1/2020,2675343,27311,3,0,147
1,6/1/2020,2675343,13270,1,0,111
1,6/1/2020,2082706,41991,1,0,133
2,1/1/2020,1178298,19653,3,0,192
2,1/1/2020,1178298,18772,6,0,144
2,1/1/2020,1178298,30256,5,0,575
2,1/1/2020,1178298,47796,5,0,85
2,1/1/2020,1178298,28510,6,1,370
2,6/1/2020,1167323,42939,1,0,37
2,6/1/2020,1167323,39913,7,0,294
2,6/1/2020,1167323,35100,5,0,220
2,3/1/2020,2895147,31419,3,0,324
2,3/1/2020,2895147,18772,1,0,24
2,3/1/2020,2895147,49550,3,0,384
2,3/1/2020,2895147,29227,1,0,119
2,3/1/2020,2895147,48725,3,0,207
2,6/1/2020,4011397,34629,3,0,240
2,6/1/2020,4011397,31379,7,0,595
2,6/1/2020,4011397,19708,3,0,288
2,6/1/2020,4011397,34002,5,0,390
2,4/1/2020,3196085,21674,4,0,264
2,4/1/2020,2109933,18772,5,0,120
2,4/1/2020,2109933,36605,6,1,405
2,6/1/2020,3267973,44285,5,0,185
2,6/1/2020,3267973,21759,3,0,210
2,6/1/2020,3728616,17216,4,0,372
2,6/1/2020,3728616,45867,2,0,150
2,6/1/2020,1886486,43564,4,0,588
2,6/1/2020,1886486,23623,6,0,858
2,1/1/2020,4747915,16315,1,0,74
2,2/1/2020,3475265,10204,6,0,306
2,3/1/2020,3938216,34385,3,0,363
2,3/1/2020,3938216,34245,2,0,12
2,3/1/2020,3938216,29059,1,0,117
1,6/1/2020,1165687,24129,4,0,216
1,1/1/2020,1557190,19290,6,0,750
1,1/1/2020,1557190,46273,7,0,861
1,1/1/2020,1557190,40635,1,0,67
1,2/1/2020,3760221,19727,1,0,34
1,2/1/2020,3760221,24258,7,0,301
1,2/1/2020,3760221,14187,3,0,219
1,1/1/2020,2838075,37947,3,0,315
1,1/1/2020,2838075,25509,4,0,512
1,1/1/2020,3874551,44528,2,0,34
1,2/1/2020,2047275,33131,4,0,112
1,2/1/2020,2047275,41111,2,0,80
1,5/1/2020,4683690,19727,5,0,170
1,5/1/2020,4683690,11445,7,0,308
1,5/1/2020,4683690,33282,7,0,1050
1,1/1/2020,4165954,18772,6,0,144
1,1/1/2020,4165954,21365,1,0,60
1,1/1/2020,4165954,33326,2,0,272
1,1/1/2020,4165954,11160,3,0,423
1,4/1/2020,3102404,30462,5,0,320
1,6/1/2020,2901849,12012,6,0,300
1,6/1/2020,2901849,13632,4,0,468
1,1/1/2020,3410296,24711,1,0,98
1,1/1/2020,3410296,35946,4,0,168
1,1/1/2020,3410296,16333,2,0,136
1,6/1/2020,2397179,20265,2,0,156
1,6/1/2020,2397179,12676,5,0,360
1,6/1/2020,2397179,11355,1,0,47
1,3/1/2020,4053328,27372,6,0,444
1,3/1/2020,4053328,28340,6,0,72
1,3/1/2020,4053328,33060,4,0,368
1,3/1/2020,4053328,47377,4,0,332
1,3/1/2020,4053328,47760,5,0,105
1,3/1/2020,4053328,10489,7,0,539
1,3/1/2020,4053328,15637,2,0,228
1,5/1/2020,4180971,13201,2,0,146
1,5/1/2020,4180971,43239,3,0,417
1,6/1/2020,1114733,14663,2,0,44
1,6/1/2020,1114733,47744,1,0,145
1,6/1/2020,2213897,11259,5,0,500
1,6/1/2020,2213897,18772,4,0,96
1,6/1/2020,2213897,14509,2,0,236
1,6/1/2020,2213897,45110,4,0,148
1,6/1/2020,2213897,37761,5,0,595
2,1/1/2020,3091635,34468,2,0,280
2,3/1/2020,1999569,38836,5,0,530
2,3/1/2020,1999569,46207,7,0,903
2,3/1/2020,1999569,11790,6,0,642
2,4/1/2020,4184765,32815,1,0,78
2,4/1/2020,4184765,25049,4,0,208
2,4/1/2020,4184765,22346,1,0,107
2,4/1/2020,4184765,18772,6,0,144
2,4/1/2020,4184765,15720,4,0,104
2,5/1/2020,3541321,26046,4,0,44
2,5/1/2020,3541321,13498,6,0,642
2,5/1/2020,3541321,39211,3,0,105
2,5/1/2020,3541321,29581,2,0,240
2,5/1/2020,3541321,41239,4,0,600
2,5/1/2020,4797250,12599,6,0,846
2,4/1/2020,3957277,10842,6,0,96
2,4/1/2020,3957277,17878,5,0,230
2,6/1/2020,2760370,29854,3,0,72
2,6/1/2020,2760370,26412,1,0,11
2,6/1/2020,2760370,44059,6,0,876
2,6/1/2020,2760370,37302,1,0,99
2,6/1/2020,2760370,40187,5,0,610
2,6/1/2020,2760370,12063,4,0,84
2,6/1/2020,2760370,13202,7,0,371
2,6/1/2020,2760370,18772,3,0,72
2,6/1/2020,2892800,31379,1,0,85
2,6/1/2020,2892800,36761,4,0,488
1,3/1/2020,2581389,17750,7,0,623
1,4/1/2020,1013398,31927,3,0,330
1,4/1/2020,1013398,18772,4,0,96
1,6/1/2020,3182800,32915,7,0,910
1,6/1/2020,3182800,32484,4,0,428
1,6/1/2020,3182800,30595,6,0,270
1,6/1/2020,3182800,23156,4,0,20
1,6/1/2020,3182800,11183,2,0,82
2,2/1/2020,1491550,18772,4,0,96
2,5/1/2020,3828180,15333,2,0,124
2,2/1/2020,4709230,37759,7,0,994
2,2/1/2020,4709230,15835,5,0,635
2,5/1/2020,4398618,17562,3,0,399
2,5/1/2020,4398618,47772,7,0,238
2,5/1/2020,4398618,41586,5,0,220
2,5/1/2020,4398618,34155,7,0,686
2,5/1/2020,4398618,21456,4,0,184
2,6/1/2020,3844958,31889,6,0,270
1,1/1/2020,4009284,11739,2,0,124
1,1/1/2020,4009284,10755,4,0,116
1,1/1/2020,4009284,18772,6,0,144
1,6/1/2020,1955042,10880,3,0,117
1,6/1/2020,1955042,30706,7,0,35
2,2/1/2020,2253725,19349,5,0,215
2,4/1/2020,4661586,12063,4,0,84
2,5/1/2020,3806382,42833,5,0,450
2,5/1/2020,3806382,21057,6,0,462
2,6/1/2020,3166715,30641,7,0,959
1,1/1/2020,2516010,18303,2,0,210
1,1/1/2020,2516010,24106,3,0,123
1,4/1/2020,3295476,42109,5,0,240
1,4/1/2020,3295476,34022,6,0,780
1,4/1/2020,3295476,19727,6,0,204
1,4/1/2020,3295476,47633,3,0,84
1,5/1/2020,2577351,18772,6,0,144
1,5/1/2020,2577351,41457,7,0,819
1,5/1/2020,2577351,33770,7,0,56
1,5/1/2020,2577351,41301,7,0,749
1,5/1/2020,2577351,28372,5,0,430
1,1/1/2020,2868220,35409,3,1,104
1,1/1/2020,2868220,37211,7,0,245
1,1/1/2020,2868220,28017,2,0,266
1,1/1/2020,2868220,19810,4,0,464
1,1/1/2020,2868220,26098,7,0,385
1,1/1/2020,2868220,29328,5,0,415
1,1/1/2020,2868220,12676,3,1,144
1,1/1/2020,2868220,16662,4,1,423
1,1/1/2020,2868220,42136,1,0,105
1,1/1/2020,3026428,13380,6,0,102
1,1/1/2020,3026428,37262,2,0,38
1,1/1/2020,3026428,20595,5,0,265
1,1/1/2020,3026428,45710,3,0,183
1,2/1/2020,3497302,16088,3,0,396
1,2/1/2020,3497302,36915,3,0,66
1,2/1/2020,3497302,39347,6,0,330
1,2/1/2020,3497302,27311,7,0,343
1,2/1/2020,4990180,21938,3,0,189
1,2/1/2020,4990180,32873,7,0,714
1,2/1/2020,4990180,22125,1,0,136
1,2/1/2020,4990180,20016,2,0,108
1,2/1/2020,4990180,22027,7,0,147
1,6/1/2020,2178399,33748,4,0,416
1,6/1/2020,2178399,19517,6,0,744
1,6/1/2020,2178399,24943,4,0,144
1,6/1/2020,2178399,21278,5,0,225
1,6/1/2020,2178399,39965,1,0,9
1,6/1/2020,2178399,19727,3,0,102
1,6/1/2020,2186653,27735,2,0,154
1,6/1/2020,2186653,29196,4,0,516
1,6/1/2020,2186653,22007,1,0,106
1,6/1/2020,2186653,18772,3,0,72
1,4/1/2020,2006401,30652,6,0,546
1,4/1/2020,4959815,21326,2,0,278
1,4/1/2020,4959815,12384,4,0,264
1,4/1/2020,4959815,43519,4,0,384
1,4/1/2020,4959815,18772,5,0,120
1,4/1/2020,4959815,49802,6,1,525
1,4/1/2020,4959815,43563,6,0,192
1,5/1/2020,4683332,19533,5,0,245
1,5/1/2020,4683332,44260,1,0,139
1,5/1/2020,4683332,37307,5,0,300
1,6/1/2020,1200394,22458,2,0,96
1,6/1/2020,3644698,36682,5,0,285
1,6/1/2020,3644698,39834,3,0,450
1,6/1/2020,2736479,27311,7,0,343
1,6/1/2020,2736479,17953,4,0,340
1,6/1/2020,3154444,22068,2,0,220
1,6/1/2020,3154444,16275,7,0,287
1,1/1/2020,3684380,19290,2,0,250
1,1/1/2020,3684380,18180,1,0,41
1,1/1/2020,3684380,35324,4,0,524
1,1/1/2020,3684380,19810,5,0,580
1,1/1/2020,3684380,49768,4,0,280
1,6/1/2020,1176983,25532,2,0,198
1,6/1/2020,1176983,21094,6,0,678
1,6/1/2020,1176983,33428,6,0,66
1,6/1/2020,1176983,28723,7,0,112
1,2/1/2020,1204242,46694,1,0,74
1,5/1/2020,2992751,32147,7,0,168
1,5/1/2020,2992751,36370,7,0,714
1,3/1/2020,4770448,39122,1,0,67
1,3/1/2020,4770448,13415,1,0,82
1,3/1/2020,4770448,25532,3,0,297
1,3/1/2020,4770448,44559,3,0,162
1,6/1/2020,4383336,28938,2,0,174
1,2/1/2020,4894239,27685,4,0,296
1,2/1/2020,4894239,36246,6,0,774
1,2/1/2020,1102812,38694,6,0,750
1,2/1/2020,1102812,18772,6,0,144
1,2/1/2020,1102812,47368,5,0,180
1,2/1/2020,1102812,32500,2,0,126
1,5/1/2020,4828925,24032,3,0,45
1,5/1/2020,4828925,25845,5,0,670
1,5/1/2020,4828925,25865,2,0,246
1,6/1/2020,1641805,33100,1,0,76
1,6/1/2020,1641805,39682,7,0,812
1,6/1/2020,1641805,11316,1,0,86
1,6/1/2020,1641805,18772,3,0,72
1,6/1/2020,1876387,31097,7,0,539
2,2/1/2020,2694909,27254,3,0,255
2,4/1/2020,1172541,14577,7,0,1050
2,5/1/2020,1976687,31379,5,0,425
2,5/1/2020,1976687,35487,7,0,917
1,1/1/2020,3923923,48983,4,0,276
1,1/1/2020,3923923,19727,3,0,102
1,1/1/2020,3923923,11666,1,0,12
1,1/1/2020,3923923,21478,2,0,260
1,1/1/2020,3923923,16092,3,0,84
1,4/1/2020,3130859,27647,2,0,224
1,6/1/2020,2126477,41448,6,0,810
1,6/1/2020,2126477,20808,5,0,215
1,6/1/2020,2126477,44245,3,0,288
1,6/1/2020,2126477,18772,2,0,48
1,6/1/2020,2126477,49214,5,0,110
1,6/1/2020,2126477,25037,4,0,248
1,6/1/2020,2126477,35494,2,0,152
1,6/1/2020,2126477,18126,7,0,630
1,6/1/2020,2126477,15029,6,0,894
1,6/1/2020,4277430,21866,6,0,540
1,5/1/2020,1572642,30940,4,0,220
1,5/1/2020,1572642,18536,2,1,41
1,6/1/2020,2936062,39126,6,0,792
1,6/1/2020,2936062,38533,4,0,424
1,6/1/2020,2936062,19727,5,0,170
1,6/1/2020,2936062,46095,5,0,300
1,5/1/2020,4544177,47354,4,0,140
1,5/1/2020,4544177,43128,3,0,294
1,5/1/2020,4544177,40247,5,0,135
1,5/1/2020,4544177,21866,4,0,360
1,5/1/2020,4544177,45269,2,0,74
1,5/1/2020,4544177,33099,5,0,650
1,5/1/2020,3931982,46823,1,0,63
1,5/1/2020,3931982,44193,2,0,176
1,5/1/2020,3931982,16428,3,0,90
3,4/1/2020,4180487,21879,1,0,109
3,4/1/2020,1709884,45345,7,0,770
3,4/1/2020,1709884,27751,1,0,118
3,5/1/2020,4569482,41864,5,0,425
3,5/1/2020,4569482,15175,1,0,69
3,6/1/2020,4552514,20694,6,0,540
1,1/1/2020,2015802,15708,4,0,200
1,1/1/2020,2015802,15953,1,0,137
2,2/1/2020,3130241,45950,2,0,170
2,2/1/2020,3130241,29660,7,0,798
2,2/1/2020,3130241,45406,4,0,140
2,2/1/2020,3130241,30641,3,0,411
2,2/1/2020,3130241,34369,3,0,15
2,2/1/2020,1614545,10285,6,0,36
